[2020-11-15 00:49:24.481 (UTC+0100)] */*	N) 1         1000             BeckhoffPlcType  BeckhoffPlcType 

[2020-11-15 00:49:24.481 (UTC+0100)] */*	oBjS) 1         PLC1             PLC1             PLC1            

[2020-11-15 00:49:24.489 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.489 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.489 (UTC+0100)] */*	N) 1         1000             BeckhoffPlcType  BeckhoffPlcType 

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.DeviceManual DeviceManual     DeviceManual    

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.DeviceRevision DeviceRevision   DeviceRevision  

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.HardwareRevision HardwareRevision HardwareRevision

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.Manufacturer Manufacturer     Manufacturer    

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.Model       Model            Model           

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.RevisionCounter RevisionCounter  RevisionCounter 

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.SerialNumber SerialNumber     SerialNumber    

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.SoftwareRevision SoftwareRevision SoftwareRevision

[2020-11-15 00:49:24.489 (UTC+0100)] */*	oBjS) 1         PLC1.Programs    Programs         Programs        

[2020-11-15 00:49:24.508 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.508 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.508 (UTC+0100)] */*	N) 2         1004             ConfigurableObjectType ConfigurableObjectType

[2020-11-15 00:49:24.508 (UTC+0100)] */*	oBjS) 1         PLC1.Programs.SupportedTypes SupportedTypes   SupportedTypes  

[2020-11-15 00:49:24.516 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.516 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.516 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

[2020-11-15 00:49:24.516 (UTC+0100)] */*	oBjS) 1         PLC1.Tasks       Tasks            Tasks           

[2020-11-15 00:49:24.525 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.525 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.525 (UTC+0100)] */*	N) 2         1004             ConfigurableObjectType ConfigurableObjectType

[2020-11-15 00:49:24.525 (UTC+0100)] */*	oBjS) 1         PLC1.Tasks.SupportedTypes SupportedTypes   SupportedTypes  

[2020-11-15 00:49:24.532 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.532 (UTC+0100)] */*	resp:0
